conjunto,n,in_cap,out_cap,out_ok_med,in_ok_med
GRN açúcar labelo (LB3b/c E),31,0.77,0.23,21.0,15.0
GRNs labelo (todos),285,0.78,0.23,71.0,36.0
GRNs perna,766,0.76,0.33,99.5,39.0
MNs probóscide,35,0.76,0.14,9.0,480.0
MN9,2,0.67,0.1,29.5,2283.5
DNs (todos),1316,0.79,0.2,776.0,595.0
"DNs de marcha (DNp09, DNa01, DNa02, DNg100, DNb05)",10,0.83,0.19,3107.0,5984.5
MNs de perna,391,0.84,0.18,19.0,2105.0
Intrínsecos do VNC,12835,0.83,0.27,318.0,311.0
ANs,1849,0.82,0.2,643.0,461.0
Cordotonais (propriocepção),2023,0.73,0.26,80.0,23.0
Placas de pelos (hair plates),320,0.68,0.23,356.5,65.5
Campaniformes,576,0.76,0.22,166.0,41.5
ORNs,2834,0.67,0.5,123.0,30.0
Centro do cérebro (intrínsecos),30936,0.74,0.2,147.0,167.0
