sign_mode,group,n_dn,rate_hz,wall_s,spikes_total,active_total,mn_active,mn_rate_hz,lf_rhythmic,lf_peak_hz,lf_ratio,lm_rhythmic,lm_peak_hz,lm_ratio,lh_rhythmic,lh_peak_hz,lh_ratio,rf_rhythmic,rf_peak_hz,rf_ratio,rm_rhythmic,rm_peak_hz,rm_ratio,rh_rhythmic,rh_peak_hz,rh_ratio,legs_rhythmic
predicted,G1_DNp09,2,100.0,8.987814839994826,1303,130,0,0.0,False,,,False,,,False,,,False,,,False,,,False,,,0
predicted,G1_DNp09,2,200.0,50.5384971780004,3040,174,4,0.006820119352088662,False,,,False,,,False,,,False,,,False,,,False,,,0
predicted,G2_DNp09_DNa01_DNa02,6,100.0,12.360499811999034,2955,208,4,0.010230179028132993,False,,,False,,,False,,,False,,,False,,,False,,,0
predicted,G2_DNp09_DNa01_DNa02,6,200.0,41.35859588900348,8354,341,19,0.1977834612105712,True,19.200000000000003,1.2457493289962527,False,,,False,,,False,16.8,0.8682088296281584,False,,,False,,,1
predicted,G3_top20_drive,20,100.0,104.32950431500649,45644,1307,136,9.311167945439045,True,17.6,1.2160522536426424,True,13.600000000000001,2.635853917792054,True,13.600000000000001,1.1751119560200414,True,6.4,1.9244859490687563,True,14.4,1.7501780995893392,True,10.4,1.626902235958438,6
predicted,G3_top20_drive,20,200.0,128.82960984200326,92270,2276,160,16.56777493606138,True,16.8,1.3903990721607045,True,12.0,1.6044057778932115,True,12.0,2.104834960754827,True,14.4,2.128064456135324,True,16.0,1.9565592479705978,True,18.400000000000002,1.4634596531099782,6
predicted,G4_walking_cluster,159,100.0,144.29906699999992,77505,1753,100,4.796248934356352,False,4.0,0.7598153004655928,False,4.0,0.7747350028111212,False,13.600000000000001,0.9153874636276604,True,18.400000000000002,1.028333091827209,True,12.8,1.5807369505057172,True,15.200000000000001,1.0655190128312098,3
predicted,G4_walking_cluster,159,200.0,162.30784590599797,157354,2782,110,7.667519181585678,False,20.0,0.5715982147021341,False,10.4,0.7647123154763911,True,13.600000000000001,1.0251021410259007,True,4.0,1.188158100023264,True,13.600000000000001,1.154731211311563,True,5.6000000000000005,1.0682143030901339,4
verified,G1_DNp09,2,100.0,10.588266798004042,1139,114,0,0.0,False,,,False,,,False,,,False,,,False,,,False,,,0
verified,G1_DNp09,2,200.0,20.85231806700176,3153,182,4,0.017050298380221655,False,,,False,,,False,,,False,,,False,,,False,,,0
