cond,prom
predicted_G2_DNp09_DNa01_DNa02_100,1.96
predicted_G2_DNp09_DNa01_DNa02_200,4.19
predicted_G3_top20_drive_100,3.67
predicted_G3_top20_drive_200,5.34
predicted_G4_walking_cluster_100,5.74
predicted_G4_walking_cluster_200,5.84
verified_G2_DNp09_DNa01_DNa02_100,2.97
verified_G2_DNp09_DNa01_DNa02_200,4.19
verified_G3_top20_drive_100,5.18
verified_G3_top20_drive_200,3.97
verified_G4_walking_cluster_100,4.22
verified_G4_walking_cluster_200,3.54
verified_gluexc_G2_DNp09_DNa01_DNa02_100,4.81
verified_gluexc_G2_DNp09_DNa01_DNa02_200,4.8
verified_gluexc_G3_top20_drive_100,4.84
verified_gluexc_G3_top20_drive_200,4.43
verified_gluexc_G4_walking_cluster_100,3.68
verified_gluexc_G4_walking_cluster_200,4.57
