leg,joint,n_flex,n_ext,n_premotor,n_exc,n_inh,exc_sharing,inh_selectivity,g3_drive_flex,g3_drive_ext,g3_flex_over_ext
lf,CTr,11,8,1393,772,621,0.11787005201445826,0.8491721559551362,8545.869999999999,3800.4,2.248676455109988
lf,FTi,17,2,936,541,395,0.0542216568611862,0.8944048592454152,3204.09,398.65,8.037351059826916
lm,CTr,10,8,1360,766,594,0.15244755244755245,0.8548170848496457,4720.1,3181.3,1.4837016314085436
lm,FTi,16,2,1311,766,545,0.1034333525678015,0.8677830785707331,3233.28,1712.28,1.8882892984792208
lh,CTr,10,8,1426,828,598,0.1494006083378064,0.8380625714582683,3034.66,2842.72,1.0675198401530928
lh,FTi,17,2,1605,924,681,0.11690193164933135,0.8363182459568002,4308.969999999999,2212.85,1.9472490227534625
rf,CTr,11,8,1470,794,676,0.13378880913257804,0.8526315789473684,5328.43,2438.2799999999997,2.1853232606591537
rf,FTi,16,2,1273,712,561,0.1163494040206369,0.854971131945548,3692.47,1502.3,2.4578779205218666
rm,CTr,10,8,1465,812,653,0.10111893907998343,0.8416495401098346,5955.75,1953.01,3.049523555946974
rm,FTi,17,2,1526,858,668,0.11048666259417633,0.8611239131102713,4759.18,1872.21,2.5420118469616124
rh,CTr,10,8,1485,867,618,0.14143993713780573,0.8406109102725537,2039.98,2330.69,0.8752686972527449
rh,FTi,18,2,1579,912,667,0.1135445460344461,0.8532521223214568,3054.07,1569.11,1.9463708726602982
