cond,leg,P_imp_over_median,spikes
verified,lf,1.416968326733693,687
verified,lm,1.405710944993018,244
verified,lh,1.9653680140396588,289
verified,rf,3.365019897962993,831
verified,rm,1.9907206029756161,143
verified,rh,1.6292327860820843,262
verified,lf,2.256899097776324,361
verified,lm,1.4127953342588218,464
verified,lh,0.5550400396975405,315
verified,rf,14.819770211732505,914
verified,rm,0.9947103556638688,808
verified,rh,1.6754265888185882,266
verified,lf,1.4295932032032737,1152
verified,lm,1.7724634426317032,335
verified,lh,1.489994505710713,387
verified,rf,1.2104257375627145,1381
verified,rm,0.799244289993799,569
verified,rh,1.2544834197377848,339
verified,lf,2.1541450172996663,505
verified,lm,0.6968397239340198,257
verified,lh,2.7331612467419535,360
verified,rf,1.1242689888846884,984
verified,rm,1.347502975537298,198
verified,rh,1.4918266532816027,249
verified,lf,2.2848500321219274,455
verified,lm,1.602920357610609,264
verified,lh,2.3268963246727834,310
verified,rf,2.501044868982364,925
verified,rm,1.5701643982915776,315
verified,rh,1.6982776009608689,263
verified,lf,1.8362011426369904,670
verified,lm,1.6196434374889455,252
verified,lh,1.0346731941183906,311
verified,rf,2.480489037772328,812
verified,rm,1.673812496608335,164
verified,rh,1.7994096901353591,242
verified,lf,3.281932483702038,352
verified,lm,1.2578985347052465,469
verified,lh,0.7286261331679551,313
verified,rf,11.614054855431956,945
verified,rm,0.8060072005773841,791
verified,rh,1.766050271770152,262
verified,lf,2.414537154439885,1149
verified,lm,1.7307068055533095,329
verified,lh,1.0997012672876678,398
verified,rf,1.508204103082414,1413
verified,rm,0.6836247066351733,567
verified,rh,1.1221310308619785,331
verified,lf,1.115557827696727,468
verified,lm,0.5823083098154069,279
verified,lh,2.4355086087998825,379
verified,rf,1.1817987931996004,1057
verified,rm,1.775434190081033,216
verified,rh,1.4293055758672886,230
verified,lf,1.616046820162244,438
verified,lm,2.8075621659727856,253
verified,lh,2.1191725272925663,347
verified,rf,1.4977964127519419,948
verified,rm,0.8670434831272295,319
verified,rh,1.5644111014438846,263
verified,lf,1.3695277387580616,714
verified,lm,1.5807669491770777,144
verified,lh,0.9458490247604109,266
verified,rf,1.42682173675816,862
verified,rm,1.402694214552897,185
verified,rh,2.0789569742711667,308
verified,lf,2.5851381603326242,281
verified,lm,1.8798942441577295,453
verified,lh,2.37989185617006,317
verified,rf,9.351522431924877,952
verified,rm,0.7520590264745672,732
verified,rh,3.080895810588826,337
verified,lf,1.9964297443516217,1145
verified,lm,1.243388434154925,271
verified,lh,1.5096194988644147,391
verified,rf,2.7508704701537448,1428
verified,rm,1.4826197178222909,520
verified,rh,1.098889749737522,345
verified,lf,1.5109612026003028,429
verified,lm,1.5988765200251747,151
verified,lh,1.4041060506527132,378
verified,rf,1.1294126966079157,982
verified,rm,1.1961990526799584,237
verified,rh,0.995510797300375,297
verified,lf,2.1767849775393144,418
verified,lm,1.7237317607331222,152
verified,lh,2.4749306717253488,320
verified,rf,1.777053545474512,884
verified,rm,1.2583029136652972,270
verified,rh,0.9903776776288368,349
verified,lf,1.1187337931155676,673
verified,lm,1.5382539480403772,154
verified,lh,2.990101731134039,295
verified,rf,0.7787756887030594,854
verified,rm,1.2297251933168356,184
verified,rh,2.2298886261435618,313
verified,lf,5.044729566976269,255
verified,lm,1.0143343831591147,453
verified,lh,4.500737829827469,331
verified,rf,6.968722157675614,945
verified,rm,0.615192516695315,737
verified,rh,4.229544992164255,323
verified,lf,2.6328006350153874,1144
verified,lm,1.6495511378074248,283
verified,lh,1.1600718038805367,417
verified,rf,2.604615842249488,1441
verified,rm,1.6250320815467394,524
verified,rh,0.8538974120619206,348
verified,lf,1.8586515681370464,412
verified,lm,1.5940405416575527,169
verified,lh,1.5217061130415745,393
verified,rf,1.55003328765881,1018
verified,rm,1.140033992781632,236
verified,rh,1.5585319603762438,291
verified,lf,1.0905602385818083,392
verified,lm,0.8499849230752207,153
verified,lh,2.927823061249215,330
verified,rf,1.3614102592447213,913
verified,rm,1.4049135223492413,279
verified,rh,1.4779454849124818,323
verified+G3,lf,2.4180174458568597,3519
verified+G3,lm,2.1331101855306804,3007
verified+G3,lh,2.057839873126573,4606
verified+G3,rf,1.1054717151987143,4168
verified+G3,rm,0.9154262498096447,3082
verified+G3,rh,0.7458834425821972,4233
verified+G3,lf,0.72785461796339,3489
verified+G3,lm,1.3412069514765335,2681
verified+G3,lh,0.8317409543630724,4490
verified+G3,rf,0.9992565101528278,4008
verified+G3,rm,1.468688820241814,2942
verified+G3,rh,1.2376103374919365,4270
verified+G3,lf,2.6038264276499077,3561
verified+G3,lm,1.8224567106317422,2916
verified+G3,lh,1.3828847330084821,4652
verified+G3,rf,1.339395889506512,4279
verified+G3,rm,0.8702521467652115,3037
verified+G3,rh,0.9543872795108103,3973
verified+G3,lf,1.727398505856305,3422
verified+G3,lm,1.3250406785441078,2876
verified+G3,lh,0.9024065435042251,4875
verified+G3,rf,1.012471092246143,4249
verified+G3,rm,1.5568840943681992,3024
verified+G3,rh,1.3246014131332142,4000
verified+G3,lf,2.377111732907818,3479
verified+G3,lm,2.7507821509337305,2722
verified+G3,lh,1.3605652424845947,4812
verified+G3,rf,1.4548129472556954,3923
verified+G3,rm,1.2016414423542376,2984
verified+G3,rh,1.1277356497282793,4309
verified+G3,lf,2.837629707577843,3517
verified+G3,lm,2.8247838408992267,3001
verified+G3,lh,2.15663642418692,4578
verified+G3,rf,0.8415576654335927,4205
verified+G3,rm,0.9937090386723009,3047
verified+G3,rh,0.7344190880840806,4269
verified+G3,lf,0.5675010856486638,3411
verified+G3,lm,1.6688313055562527,2923
verified+G3,lh,0.8342742253998296,4643
verified+G3,rf,1.060174968583955,4454
verified+G3,rm,0.8816699389760243,3111
verified+G3,rh,1.3115865175199768,4212
verified+G3,lf,1.3857029899401165,3573
verified+G3,lm,1.6860104351185536,2879
verified+G3,lh,1.3643099028367036,4507
verified+G3,rf,1.000522496234822,3997
verified+G3,rm,1.3084417598875924,2961
verified+G3,rh,0.8340735201890895,4050
verified+G3,lf,1.5408899066242627,3438
verified+G3,lm,0.9079654534215073,2963
verified+G3,lh,1.31310356757147,4896
verified+G3,rf,0.9519593966749897,4320
