leg,joint,seed,flex_before,flex_during,ext_before,ext_during
lf,CTr,9000,15.636363636363635,39.09090909090909,15.666666666666666,0.875
lf,CTr,9001,15.515151515151516,37.81818181818182,15.833333333333334,0.875
lf,CTr,9002,18.78787878787879,37.27272727272727,13.666666666666666,0.875
lf,CTr,9003,18.3030303030303,38.0,13.5,1.25
lf,CTr,9004,8.121212121212121,32.81818181818182,25.833333333333332,10.25
lf,FTi,9000,4.9411764705882355,27.764705882352942,2.0,0.0
lf,FTi,9001,5.490196078431372,25.176470588235293,8.0,0.0
lf,FTi,9002,5.490196078431372,26.058823529411764,8.666666666666666,0.5
lf,FTi,9003,5.098039215686275,26.647058823529413,9.333333333333334,0.0
lf,FTi,9004,5.254901960784314,25.823529411764707,8.0,1.0
lm,CTr,9000,26.666666666666668,46.9,11.5,4.5
lm,CTr,9001,24.8,44.1,11.0,5.0
lm,CTr,9002,24.400000000000002,45.8,11.5,4.5
lm,CTr,9003,26.933333333333334,45.1,13.0,5.0
lm,CTr,9004,25.066666666666666,43.0,12.166666666666666,4.25
lm,FTi,9000,11.583333333333334,44.5,64.66666666666667,16.0
lm,FTi,9001,11.583333333333334,45.9375,63.333333333333336,12.5
lm,FTi,9002,11.916666666666666,44.0625,72.0,15.5
lm,FTi,9003,11.583333333333334,45.375,71.33333333333333,16.5
lm,FTi,9004,11.25,45.0625,67.33333333333333,11.5
lh,CTr,9000,29.599999999999998,59.8,29.666666666666668,9.25
lh,CTr,9001,29.333333333333332,58.9,28.166666666666668,7.5
lh,CTr,9002,28.266666666666666,58.4,27.0,10.125
lh,CTr,9003,32.4,59.2,27.5,11.25
lh,CTr,9004,28.933333333333334,60.1,28.0,9.0
lh,FTi,9000,13.333333333333334,45.294117647058826,105.33333333333333,46.5
lh,FTi,9001,13.411764705882353,45.35294117647059,99.33333333333333,47.0
lh,FTi,9002,11.686274509803923,45.705882352941174,98.66666666666667,44.0
lh,FTi,9003,13.176470588235295,43.1764705882353,102.66666666666667,64.0
lh,FTi,9004,13.176470588235295,45.11764705882353,93.33333333333333,42.0
rf,CTr,9000,24.606060606060606,51.18181818181818,11.166666666666666,4.625
rf,CTr,9001,25.939393939393938,48.45454545454545,9.0,4.0
rf,CTr,9002,25.333333333333332,49.81818181818182,10.833333333333334,1.25
rf,CTr,9003,24.363636363636363,53.18181818181818,8.833333333333334,2.125
rf,CTr,9004,25.212121212121215,48.18181818181818,9.833333333333334,8.875
rf,FTi,9000,7.833333333333333,33.375,27.333333333333332,2.0
rf,FTi,9001,6.083333333333333,32.25,46.666666666666664,4.5
rf,FTi,9002,8.25,33.625,46.666666666666664,3.0
rf,FTi,9003,8.0,34.625,41.333333333333336,5.0
rf,FTi,9004,6.25,32.75,42.666666666666664,4.5
rm,CTr,9000,22.0,52.4,4.0,2.875
rm,CTr,9001,26.8,54.3,2.6666666666666665,0.5
rm,CTr,9002,26.53333333333333,55.6,5.0,3.125
rm,CTr,9003,27.066666666666666,56.8,3.1666666666666665,2.125
rm,CTr,9004,28.0,56.4,2.6666666666666665,1.125
rm,FTi,9000,7.686274509803922,35.23529411764706,103.33333333333333,50.0
rm,FTi,9001,7.529411764705883,36.8235294117647,106.66666666666667,42.0
rm,FTi,9002,7.764705882352941,35.8235294117647,108.66666666666667,48.0
rm,FTi,9003,8.705882352941176,35.8235294117647,104.66666666666667,66.0
rm,FTi,9004,8.627450980392156,32.76470588235294,103.33333333333333,61.0
rh,CTr,9000,18.400000000000002,55.0,35.333333333333336,9.75
rh,CTr,9001,19.2,55.4,36.166666666666664,8.375
rh,CTr,9002,20.933333333333334,59.1,37.166666666666664,8.125
rh,CTr,9003,19.599999999999998,57.8,36.166666666666664,12.25
rh,CTr,9004,20.533333333333335,59.2,36.333333333333336,6.25
rh,FTi,9000,9.25925925925926,31.055555555555557,106.66666666666667,47.0
rh,FTi,9001,9.25925925925926,32.22222222222222,99.33333333333333,52.5
rh,FTi,9002,11.25925925925926,33.611111111111114,100.0,50.0
rh,FTi,9003,8.518518518518519,31.5,99.33333333333333,66.5
rh,FTi,9004,9.851851851851853,29.833333333333332,102.0,49.5
