mode,leg,kind,target,n_sensors,n_mn,E1,I1,bal1,E2,I2,bal2
verified,lf,claw,all,27,69,265.0,0.0,1.0,323181.0,584028.0,-0.2875269094552633
verified,lf,claw,FTi_flexor,27,17,27.0,0.0,1.0,32122.0,91827.0,-0.4816900499398946
verified,lf,claw,FTi_extensor,27,2,35.0,0.0,1.0,4424.0,20634.0,-0.6468991938702211
verified,lf,hook,all,27,69,149.0,0.0,1.0,102620.0,212393.0,-0.3484713329291172
verified,lf,hook,FTi_flexor,27,17,31.0,0.0,1.0,18646.0,27562.0,-0.19295360110803325
verified,lf,hook,FTi_extensor,27,2,4.0,0.0,1.0,1871.0,15435.0,-0.7837744134982088
verified,lf,club,all,59,69,8.0,0.0,1.0,10208.0,28652.0,-0.4746268656716418
verified,lf,club,FTi_flexor,59,17,1.0,0.0,1.0,680.0,4056.0,-0.7128378378378378
verified,lf,club,FTi_extensor,59,2,0.0,0.0,,117.0,719.0,-0.7200956937799043
verified,lf,hair,all,36,69,1993.0,3.0,0.996993987975952,597278.0,1740306.0,-0.48897836398606426
verified,lf,hair,FTi_flexor,36,17,1.0,0.0,1.0,24318.0,77278.0,-0.5212803653687152
verified,lf,hair,FTi_extensor,36,2,0.0,0.0,,4877.0,17427.0,-0.5626793400286944
verified,lf,cs,all,29,69,322.0,41.0,0.7741046831955923,318781.0,431010.0,-0.14968037759855746
verified,lf,cs,FTi_flexor,29,17,7.0,0.0,1.0,20498.0,33568.0,-0.24174157511190028
verified,lf,cs,FTi_extensor,29,2,0.0,0.0,,5152.0,16785.0,-0.5302912886903405
verified,lm,claw,all,34,63,576.0,0.0,1.0,243634.0,736446.0,-0.5028283405436291
verified,lm,claw,FTi_flexor,34,16,262.0,0.0,1.0,104284.0,278580.0,-0.455242592669982
verified,lm,claw,FTi_extensor,34,2,137.0,0.0,1.0,16136.0,97002.0,-0.7147554314200357
verified,lm,hook,all,20,63,398.0,0.0,1.0,75997.0,265387.0,-0.5547711667799311
verified,lm,hook,FTi_flexor,20,16,114.0,0.0,1.0,19095.0,67477.0,-0.5588642979254262
verified,lm,hook,FTi_extensor,20,2,45.0,0.0,1.0,9417.0,16348.0,-0.26900834465359985
verified,lm,club,all,53,63,57.0,0.0,1.0,58339.0,183697.0,-0.5179312168437753
verified,lm,club,FTi_flexor,53,16,49.0,0.0,1.0,7560.0,90419.0,-0.8456812174037294
verified,lm,club,FTi_extensor,53,2,8.0,0.0,1.0,6625.0,2031.0,0.5307301293900185
verified,lm,hair,all,32,63,1095.0,0.0,1.0,415364.0,1261499.0,-0.5045939948582562
verified,lm,hair,FTi_flexor,32,16,80.0,0.0,1.0,80059.0,113242.0,-0.1716649163739453
verified,lm,hair,FTi_extensor,32,2,2.0,0.0,1.0,31051.0,105895.0,-0.5465219867685073
verified,lm,cs,all,2,63,22.0,0.0,1.0,3948.0,1737.0,0.38891820580474934
verified,lm,cs,FTi_flexor,2,16,7.0,0.0,1.0,1236.0,88.0,0.8670694864048338
verified,lm,cs,FTi_extensor,2,2,0.0,0.0,,114.0,232.0,-0.34104046242774566
verified,lh,claw,all,38,63,789.0,0.0,1.0,363566.0,1369291.0,-0.5803854559262536
verified,lh,claw,FTi_flexor,38,17,422.0,0.0,1.0,132896.0,666075.0,-0.6673321059212411
verified,lh,claw,FTi_extensor,38,2,163.0,0.0,1.0,53099.0,135325.0,-0.4363881458837515
verified,lh,hook,all,22,63,787.0,0.0,1.0,122142.0,403083.0,-0.5348964729401685
verified,lh,hook,FTi_flexor,22,17,447.0,0.0,1.0,59688.0,136229.0,-0.3906807474593833
