leg,joint,seed,flex_before,flex_during,ext_before,ext_during
lf,CTr,9000,18.181818181818183,8.727272727272727,15.0,86.875
lf,CTr,9001,16.242424242424242,8.545454545454545,13.666666666666666,87.875
lf,CTr,9002,16.12121212121212,9.272727272727273,13.666666666666666,87.0
lf,CTr,9003,18.3030303030303,8.727272727272727,12.333333333333334,85.875
lf,CTr,9004,15.030303030303031,4.090909090909091,16.333333333333332,89.875
lf,FTi,9000,4.862745098039215,4.823529411764706,12.0,41.5
lf,FTi,9001,5.019607843137255,4.117647058823529,6.666666666666667,45.0
lf,FTi,9002,5.019607843137255,3.9411764705882355,8.666666666666666,42.0
lf,FTi,9003,5.568627450980393,4.352941176470588,8.0,44.5
lf,FTi,9004,4.862745098039215,4.529411764705882,10.666666666666666,37.0
lm,CTr,9000,25.066666666666666,15.2,13.833333333333334,68.25
lm,CTr,9001,23.599999999999998,11.5,13.5,72.375
lm,CTr,9002,25.599999999999998,15.9,12.5,71.125
lm,CTr,9003,27.333333333333332,15.8,14.833333333333334,70.25
lm,CTr,9004,24.53333333333333,12.1,11.666666666666666,72.625
lm,FTi,9000,11.0,6.6875,80.0,104.5
lm,FTi,9001,11.75,6.125,66.0,99.5
lm,FTi,9002,11.416666666666666,5.75,67.33333333333333,110.0
lm,FTi,9003,11.75,4.5625,69.33333333333333,115.5
lm,FTi,9004,11.083333333333334,3.125,66.66666666666667,114.0
lh,CTr,9000,29.599999999999998,17.6,28.833333333333332,86.5
lh,CTr,9001,29.066666666666666,15.7,28.5,89.375
lh,CTr,9002,27.866666666666664,17.1,26.333333333333332,89.875
lh,CTr,9003,29.733333333333334,18.1,28.833333333333332,88.0
lh,CTr,9004,29.866666666666664,16.1,28.5,89.5
lh,FTi,9000,13.333333333333334,5.588235294117647,105.33333333333333,135.5
lh,FTi,9001,13.411764705882353,4.470588235294118,100.0,135.0
lh,FTi,9002,11.294117647058824,6.235294117647059,95.33333333333333,132.0
lh,FTi,9003,12.705882352941176,6.235294117647059,104.0,137.5
lh,FTi,9004,12.784313725490195,4.235294117647059,100.66666666666667,140.0
rf,CTr,9000,25.09090909090909,16.363636363636363,9.333333333333334,87.25
rf,CTr,9001,24.0,12.181818181818182,9.0,90.0
rf,CTr,9002,25.939393939393938,14.0,10.5,92.0
rf,CTr,9003,25.454545454545453,17.363636363636363,10.166666666666666,88.125
rf,CTr,9004,26.3030303030303,13.818181818181818,9.333333333333334,89.625
rf,FTi,9000,7.083333333333333,4.25,38.0,69.0
rf,FTi,9001,6.0,3.0,50.0,70.0
rf,FTi,9002,6.916666666666667,4.25,53.333333333333336,69.5
rf,FTi,9003,6.916666666666667,5.25,46.666666666666664,73.5
rf,FTi,9004,6.5,2.75,50.0,76.5
rm,CTr,9000,25.066666666666666,11.3,2.6666666666666665,54.0
rm,CTr,9001,26.266666666666666,10.0,3.1666666666666665,55.5
rm,CTr,9002,26.133333333333336,14.4,3.6666666666666665,54.375
rm,CTr,9003,25.599999999999998,16.9,3.0,52.375
rm,CTr,9004,25.333333333333332,8.4,2.6666666666666665,56.625
rm,FTi,9000,7.6078431372549025,4.705882352941177,102.66666666666667,119.5
rm,FTi,9001,7.529411764705883,3.588235294117647,101.33333333333333,120.5
rm,FTi,9002,8.470588235294118,5.470588235294118,105.33333333333333,125.5
rm,FTi,9003,7.372549019607843,6.529411764705882,103.33333333333333,117.5
rm,FTi,9004,7.686274509803922,4.764705882352941,102.66666666666667,111.0
rh,CTr,9000,18.0,7.0,37.0,88.5
rh,CTr,9001,18.133333333333333,5.8,37.5,89.875
rh,CTr,9002,21.2,8.3,35.833333333333336,90.375
rh,CTr,9003,17.466666666666665,8.7,35.833333333333336,88.125
rh,CTr,9004,17.733333333333334,6.0,37.0,89.875
rh,FTi,9000,9.62962962962963,4.611111111111111,105.33333333333333,132.0
rh,FTi,9001,9.25925925925926,4.555555555555555,100.66666666666667,130.0
rh,FTi,9002,10.444444444444445,5.277777777777778,102.0,129.0
rh,FTi,9003,9.185185185185185,5.555555555555555,107.33333333333333,134.0
rh,FTi,9004,9.777777777777777,4.444444444444445,106.66666666666667,134.0
