group,n_total,n_active,rate_mean_active,spikes_per_s,frac_active,share_of_spikes
células de Kenyon,5177,3412,47.727784290738576,162847.2,0.6590689588564805,0.3429666100416285
demais (central),23270,2091,35.49732185557149,74224.9,0.0898581865062312,0.1563223827838542
corno lateral (LH*),1611,1097,67.18012762078395,73696.6,0.680943513345748,0.15520974922254652
PNs do lobo antenal,685,557,102.36427289048473,57016.9,0.8131386861313868,0.12008123509696529
LNs do lobo antenal,429,362,153.49944751381213,55566.8,0.8438228438228438,0.11702723182751168
sensoriais,16352,577,37.50727902946274,21641.7,0.035286203522504896,0.045578803224973534
DAN,331,149,57.095302013422824,8507.2,0.4501510574018127,0.017916706857386198
MBON,96,69,114.18695652173913,7878.9,0.71875,0.016593466905522394
LAL/AOTU,778,121,46.32644628099174,5605.5,0.15552699228791775,0.011805541222620642
descendentes,1299,197,25.355837563451775,4995.1,0.15165511932255582,0.010519999814666376
demais (visual_centrifugal),524,54,19.507407407407406,1053.4,0.10305343511450382,0.0022185277181176674
APL,2,2,338.45000000000005,676.9000000000001,1.0,0.0014255946576740546
demais (visual_projection),8038,30,16.793333333333333,503.8,0.003732271709380443,0.0010610349956214932
demais (optic),77530,85,5.458823529411765,464.0,0.0010963498000773895,0.0009772136521801762
demais (ascending),1736,5,22.8,114.0,0.002880184331797235,0.0002400912852339226
demais (motor),110,7,3.7857142857142856,26.5,0.06363636363636363,5.5810693497359205e-05
demais (endocrine),76,0,0.0,0.0,0.0,0.0
demais (sensory_ascending),581,0,0.0,0.0,0.0,0.0
demais (nan),14,0,0.0,0.0,0.0,0.0
