dn,dn_side,src,src_side,n_src,direct_E,direct_I,hop2_E,hop2_I,n_intermediates,hop2_net
DNa01,left,ORN_DM1,left,35,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,ORN_DM1,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,ORN_VA2,left,34,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,ORN_VA2,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,DM1_lPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,DM1_lPN,right,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,VA2_adPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,left,VA2_adPN,right,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,ORN_DM1,left,35,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,ORN_DM1,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,ORN_VA2,left,34,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,ORN_VA2,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,DM1_lPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,DM1_lPN,right,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,VA2_adPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa01,right,VA2_adPN,right,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,ORN_DM1,left,35,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,ORN_DM1,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,ORN_VA2,left,34,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,ORN_VA2,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,DM1_lPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,DM1_lPN,right,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,VA2_adPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,left,VA2_adPN,right,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,right,ORN_DM1,left,35,0.0,0.0,5.0,0.0,1,5.0
DNa02,right,ORN_DM1,right,33,0.0,0.0,2.0,0.0,1,2.0
DNa02,right,ORN_VA2,left,34,0.0,0.0,0.0,0.0,0,0.0
DNa02,right,ORN_VA2,right,33,0.0,0.0,0.0,0.0,0,0.0
DNa02,right,DM1_lPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,right,DM1_lPN,right,1,0.0,0.0,1.0,6.0,2,-5.0
DNa02,right,VA2_adPN,left,1,0.0,0.0,0.0,0.0,0,0.0
DNa02,right,VA2_adPN,right,1,0.0,0.0,1.0,0.0,1,1.0
