conn,rate,cond,seed,total_spikes,frac_active,DNp09_left,DNp09_right,MDN_left,MDN_right,DNa01_left,DNa01_right,DNa02_left,DNa02_right
real,none,control,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,none,control,1009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,r20,sim,1000,469085,0.061411291195118255,0.0,0.0,0.0,0.0,16.0,9.0,49.0,3.0
real,r20,sim,1001,470933,0.061274244620921965,0.0,0.0,0.0,0.0,21.0,7.0,50.0,1.0
real,r20,sim,1002,469192,0.06137522630717186,0.0,0.0,0.0,0.0,21.0,10.0,52.0,2.0
real,r20,sim,1003,468320,0.061115559113957836,0.0,0.0,0.0,0.0,21.0,8.0,50.0,0.0
real,r20,sim,1004,469426,0.06154833776931455,0.0,0.0,0.0,0.0,16.0,8.0,51.0,1.0
real,r20,sim,1005,471104,0.06151948585895744,0.0,0.0,0.0,0.0,22.0,8.0,59.0,0.0
real,r20,sim,1006,471016,0.061779153052171465,0.0,0.0,0.0,0.0,17.0,8.0,48.0,3.0
real,r20,sim,1007,471303,0.06172866220904652,0.0,0.0,0.0,0.0,22.0,7.0,51.0,0.0
real,r20,sim,1008,470506,0.06135358737440403,0.0,0.0,0.0,0.0,17.0,11.0,50.0,1.0
real,r20,sim,1009,471680,0.061432930127886094,0.0,0.0,0.0,0.0,22.0,10.0,47.0,0.0
real,r20,esq,1000,465295,0.06100736445011865,0.0,0.0,0.0,0.0,16.0,10.0,49.0,0.0
real,r20,esq,1001,466539,0.060899169786279475,0.0,0.0,0.0,0.0,21.0,5.0,57.0,2.0
real,r20,esq,1002,464219,0.0607549102344939,0.0,0.0,0.0,0.0,20.0,6.0,53.0,0.0
real,r20,esq,1003,465791,0.06076212321208318,0.0,0.0,0.0,0.0,21.0,9.0,51.0,0.0
real,r20,esq,1004,462905,0.06078376214485102,0.0,0.0,0.0,0.0,18.0,7.0,50.0,0.0
real,r20,esq,1005,465815,0.061274244620921965,0.0,0.0,0.0,0.0,15.0,7.0,46.0,1.0
real,r20,esq,1006,464433,0.0607549102344939,0.0,0.0,0.0,0.0,18.0,12.0,57.0,0.0
real,r20,esq,1007,464568,0.06092080871904731,0.0,0.0,0.0,0.0,17.0,11.0,51.0,2.0
real,r20,esq,1008,466930,0.061050642315654324,0.0,0.0,0.0,0.0,20.0,5.0,51.0,0.0
real,r20,esq,1009,469109,0.06102900338288649,0.0,0.0,0.0,0.0,24.0,7.0,51.0,0.0
real,r20,dir,1000,464612,0.06100736445011865,0.0,0.0,0.0,0.0,20.0,11.0,45.0,2.0
real,r20,dir,1001,467367,0.06076212321208318,0.0,0.0,0.0,0.0,17.0,8.0,52.0,1.0
real,r20,dir,1002,463546,0.06094966062940443,0.0,0.0,0.0,0.0,21.0,7.0,53.0,0.0
real,r20,dir,1003,465566,0.06108670720360072,0.0,0.0,0.0,0.0,19.0,6.0,50.0,0.0
real,r20,dir,1004,465670,0.060733271301726066,0.0,0.0,0.0,0.0,22.0,8.0,54.0,0.0
real,r20,dir,1005,467304,0.06100015147252937,0.0,0.0,0.0,0.0,23.0,7.0,56.0,0.0
real,r20,dir,1006,464611,0.06081261405520813,0.0,0.0,0.0,0.0,18.0,8.0,52.0,1.0
real,r20,dir,1007,465886,0.061202114845029174,0.0,0.0,0.0,0.0,20.0,8.0,49.0,3.0
real,r20,dir,1008,466345,0.06123817973297557,0.0,0.0,0.0,0.0,22.0,5.0,42.0,1.0
real,r20,dir,1009,467877,0.06087031787592236,0.0,0.0,0.0,0.0,18.0,8.0,52.0,0.0
real,r50,sim,1000,479352,0.06173587518663579,0.0,0.0,0.0,0.0,19.0,7.0,54.0,2.0
real,r50,sim,1001,480294,0.061620467545207336,0.0,0.0,0.0,0.0,23.0,6.0,50.0,0.0
real,r50,sim,1002,480939,0.06190898664877848,0.0,0.0,0.0,0.0,19.0,8.0,50.0,1.0
real,r50,sim,1003,480191,0.06191619962636776,0.0,0.0,0.0,0.0,23.0,9.0,47.0,0.0
real,r50,sim,1004,480196,0.061988329402260546,0.0,0.0,0.0,0.0,23.0,9.0,48.0,0.0
real,r50,sim,1005,479428,0.06152669883654671,0.0,0.0,0.0,0.0,23.0,6.0,51.0,1.0
real,r50,sim,1006,480282,0.06185128282806426,0.0,0.0,0.0,0.0,19.0,2.0,59.0,1.0
real,r50,sim,1007,479536,0.06181521794011786,0.0,0.0,0.0,0.0,20.0,8.0,55.0,2.0
real,r50,sim,1008,480037,0.061959477491903434,0.0,0.0,0.0,0.0,19.0,7.0,54.0,0.0
real,r50,sim,1009,482308,0.061627680522796616,0.0,0.0,0.0,0.0,23.0,11.0,62.0,0.0
real,r50,esq,1000,472529,0.061072281248422164,0.0,0.0,0.0,0.0,20.0,10.0,48.0,0.0
real,r50,esq,1001,473145,0.06117326293467206,0.0,0.0,0.0,0.0,19.0,6.0,47.0,0.0
real,r50,esq,1002,471608,0.060884743831100915,0.0,0.0,0.0,0.0,17.0,7.0,48.0,0.0
real,r50,esq,1003,472955,0.061093920181189997,0.0,0.0,0.0,0.0,18.0,8.0,46.0,0.0
real,r50,esq,1004,471697,0.06112277209154711,0.0,0.0,0.0,0.0,21.0,5.0,48.0,0.0
real,r50,esq,1005,473202,0.0609568736069937,0.0,0.0,0.0,0.0,23.0,7.0,54.0,1.0
real,r50,esq,1006,472096,0.061259818665743405,0.0,0.0,0.0,0.0,20.0,8.0,51.0,1.0
real,r50,esq,1007,471868,0.06112277209154711,0.0,0.0,0.0,0.0,19.0,7.0,61.0,0.0
real,r50,esq,1008,472292,0.06107949422601144,0.0,0.0,0.0,0.0,19.0,8.0,54.0,0.0
real,r50,esq,1009,473066,0.061072281248422164,0.0,0.0,0.0,0.0,18.0,7.0,51.0,0.0
real,r50,dir,1000,472202,0.060906382763868755,0.0,0.0,0.0,0.0,24.0,5.0,56.0,0.0
real,r50,dir,1001,472686,0.061093920181189997,0.0,0.0,0.0,0.0,18.0,6.0,47.0,0.0
real,r50,dir,1002,470802,0.06081261405520813,0.0,0.0,0.0,0.0,19.0,7.0,47.0,0.0
real,r50,dir,1003,472643,0.06079097512244029,0.0,0.0,0.0,0.0,23.0,6.0,55.0,1.0
real,r50,dir,1004,471204,0.06092080871904731,0.0,0.0,0.0,0.0,19.0,8.0,55.0,1.0
real,r50,dir,1005,471927,0.061043429338065044,0.0,0.0,0.0,0.0,20.0,7.0,52.0,2.0
real,r50,dir,1006,470720,0.061101133158779276,0.0,0.0,0.0,0.0,18.0,10.0,53.0,0.0
real,r50,dir,1007,471622,0.0609929384949401,0.0,0.0,0.0,0.0,19.0,9.0,50.0,0.0
real,r50,dir,1008,472802,0.0609929384949401,0.0,0.0,0.0,0.0,18.0,9.0,47.0,0.0
real,r50,dir,1009,471539,0.0609929384949401,0.0,0.0,0.0,0.0,18.0,9.0,53.0,1.0
real,r100,sim,1000,492961,0.061937838559135594,0.0,0.0,0.0,0.0,26.0,8.0,62.0,0.0
real,r100,sim,1001,492470,0.062161440864403235,0.0,0.0,0.0,0.0,22.0,7.0,52.0,2.0
real,r100,sim,1002,493147,0.06196669046949271,0.0,0.0,0.0,0.0,23.0,8.0,55.0,0.0
real,r100,sim,1003,491205,0.06204603322297478,0.0,0.0,0.0,0.0,18.0,11.0,57.0,2.0
real,r100,sim,1004,493666,0.06204603322297478,0.0,0.0,0.0,0.0,23.0,7.0,55.0,0.0
real,r100,sim,1005,493596,0.06202439429020694,0.0,0.0,0.0,0.0,17.0,9.0,53.0,0.0
real,r100,sim,1006,490737,0.06186570878324281,0.0,0.0,0.0,0.0,15.0,12.0,46.0,1.0
real,r100,sim,1007,491459,0.061937838559135594,0.0,0.0,0.0,0.0,26.0,6.0,57.0,0.0
real,r100,sim,1008,493065,0.06225520957306386,0.0,0.0,0.0,0.0,17.0,10.0,55.0,0.0
real,r100,sim,1009,492041,0.0618368568728857,0.0,0.0,0.0,0.0,23.0,7.0,59.0,1.0
real,r100,esq,1000,479452,0.061093920181189997,0.0,0.0,0.0,0.0,15.0,7.0,55.0,1.0
real,r100,esq,1001,481191,0.0611588369794935,0.0,0.0,0.0,0.0,17.0,5.0,50.0,0.0
real,r100,esq,1002,480494,0.06137522630717186,0.0,0.0,0.0,0.0,22.0,10.0,50.0,1.0
real,r100,esq,1003,480256,0.06117326293467206,0.0,0.0,0.0,0.0,22.0,10.0,53.0,1.0
real,r100,esq,1004,481678,0.06136080035199331,0.0,0.0,0.0,0.0,24.0,5.0,55.0,1.0
real,r100,esq,1005,480410,0.0613968652399397,0.0,0.0,0.0,0.0,19.0,6.0,57.0,0.0
real,r100,esq,1006,479774,0.061483420971011046,0.0,0.0,0.0,0.0,21.0,9.0,56.0,3.0
real,r100,esq,1007,479712,0.06112277209154711,0.0,0.0,0.0,0.0,17.0,7.0,50.0,0.0
real,r100,esq,1008,480017,0.061093920181189997,0.0,0.0,0.0,0.0,19.0,11.0,54.0,2.0
real,r100,esq,1009,480501,0.061065068270832884,0.0,0.0,0.0,0.0,15.0,8.0,52.0,1.0
real,r100,dir,1000,480372,0.061202114845029174,0.0,0.0,0.0,0.0,20.0,7.0,48.0,0.0
real,r100,dir,1001,480092,0.06118047591226134,0.0,0.0,0.0,0.0,18.0,11.0,54.0,1.0
real,r100,dir,1002,477428,0.06118047591226134,0.0,0.0,0.0,0.0,20.0,9.0,56.0,0.0
real,r100,dir,1003,479076,0.061043429338065044,0.0,0.0,0.0,0.0,21.0,6.0,47.0,0.0
real,r100,dir,1004,480129,0.06138965226235042,0.0,0.0,0.0,0.0,17.0,8.0,52.0,0.0
real,r100,dir,1005,478641,0.06116604995708278,0.0,0.0,0.0,0.0,24.0,5.0,53.0,0.0
real,r100,dir,1006,480626,0.061202114845029174,0.0,0.0,0.0,0.0,23.0,9.0,56.0,0.0
real,r100,dir,1007,480395,0.061418504172707535,0.0,0.0,0.0,0.0,20.0,6.0,51.0,2.0
real,r100,dir,1008,479425,0.06107949422601144,0.0,0.0,0.0,0.0,17.0,5.0,55.0,0.0
real,r100,dir,1009,479454,0.06092080871904731,0.0,0.0,0.0,0.0,24.0,6.0,52.0,3.0
real,vin5,sim,1000,474750,0.061620467545207336,0.0,0.0,0.0,0.0,23.0,7.0,55.0,0.0
real,vin5,sim,1001,474389,0.061432930127886094,0.0,0.0,0.0,0.0,17.0,11.0,51.0,0.0
real,vin5,sim,1002,475236,0.061634893500385896,0.0,0.0,0.0,0.0,19.0,5.0,53.0,1.0
real,vin5,sim,1003,474670,0.06159161563485022,0.0,0.0,0.0,0.0,22.0,6.0,55.0,0.0
real,vin5,sim,1004,473600,0.061584402657260943,0.0,0.0,0.0,0.0,16.0,9.0,59.0,1.0
real,vin5,sim,1005,473415,0.06146899501583249,0.0,0.0,0.0,0.0,17.0,7.0,51.0,0.0
real,vin5,sim,1006,475449,0.06153391181413599,0.0,0.0,0.0,0.0,15.0,9.0,53.0,1.0
real,vin5,sim,1007,476282,0.061771940074582185,0.0,0.0,0.0,0.0,14.0,9.0,54.0,1.0
