cond,seed,n_spikes_total,DNp09,MDN,DNa01/02,orn_rate
odor,1000,491339,0.0,0.0,20.5,99.4962962962963
control,1000,0,0.0,0.0,0.0,0.0
odor,1001,492448,0.0,0.0,19.0,100.13333333333334
control,1001,0,0.0,0.0,0.0,0.0
odor,1002,491803,0.0,0.0,18.75,99.05925925925926
control,1002,0,0.0,0.0,0.0,0.0
odor,1003,491394,0.0,0.0,22.75,98.4962962962963
control,1003,0,0.0,0.0,0.0,0.0
odor,1004,493169,0.0,0.0,21.0,100.33333333333333
control,1004,0,0.0,0.0,0.0,0.0
odor,1005,490944,0.0,0.0,22.0,97.88148148148149
control,1005,0,0.0,0.0,0.0,0.0
odor,1006,489987,0.0,0.0,21.75,99.31111111111112
control,1006,0,0.0,0.0,0.0,0.0
odor,1007,491472,0.0,0.0,21.25,98.02222222222223
control,1007,0,0.0,0.0,0.0,0.0
odor,1008,492454,0.0,0.0,19.25,98.99259259259259
control,1008,0,0.0,0.0,0.0,0.0
odor,1009,491655,0.0,0.0,19.5,100.34814814814816
control,1009,0,0.0,0.0,0.0,0.0
